index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),160.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,1381891.0,0.05,2.484
,,1382282.0,0.09,2.484
,,1382539.0,0.118,2.484
,,131382734.0,0.138,2.486
,,1382930.0,0.158,2.48
,,1383126.0,0.178,2.486
,,1383382.0,0.204,2.486
,,131383578.0,0.224,2.486
,,1383969.0,0.264,2.482
,,1384226.0,0.29,2.486
,,1384422.0,0.31,2.488
,,1384679.0,0.336,2.488
,,1385071.0,0.374,2.484
,,1385328.0,0.4,2.488
,,1385524.0,0.42,2.49
,,1385720.0,0.442,2.49
,,13851385977.0,0.468,2.49
,,1386369.0,0.508,2.49
,,1386626.0,0.534,2.492
,,1386821.0,0.554,2.492
,,11387078.0,0.58,2.492
,,1387470.0,0.622,2.49
,,1387666.0,0.642,2.492
,,1387923.0,0.668,2.494
,,1388180.0,0.694,2.494
,,1388311388377.0,0.712,2.494
,,1388768.0,0.752,2.494
,,1389025.0,0.778,2.496
,,1389282.0,0.804,2.496
,,1381389477.0,0.824,2.498
,,1389870.0,0.864,2.498
,,1390065.0,0.884,2.5
,,1390322.0,0.91,2.498
,,1390579.0,0.936,2.5
,,1390971.0,0.976,2.502
,,1391167.0,0.996,2.502
,,1391424.0,1.022,2.502
,,1391681.0,1.048,2.504
,,13911391877.0,1.068,2.504
,,1392269.0,1.108,2.506
,,1392526.0,1.134,2.506
,,1392721.0,1.154,2.506
,,11392978.0,1.18,2.506
,,1393371.0,1.22,2.508
,,1393566.0,1.24,2.508
,,1393823.0,1.268,2.508
,,1394080.0,1.294,2.508
,,139421394276.0,1.314,2.51
,,1394668.0,1.354,2.512
,,1394925.0,1.38,2.512
,,1395182.0,1.406,2.514
,,131395378.0,1.426,2.518
,,1395831.0,1.472,2.53
,,1396088.0,1.498,2.536
,,1396284.0,1.518,2.542
,,11396541.0,1.544,2.556
,,1396994.0,1.59,2.58
,,1397189.0,1.61,2.59
,,1397386.0,1.63,2.602
,,1397643.0,1.656,2.618
,,13977771397838.0,1.674,2.63
,,1398230.0,1.716,2.652
,,1398487.0,1.742,2.658
,,1398744.0,1.768,2.666
,,13981398940.0,1.786,2.668
,,1399331.0,1.826,2.674
,,1399528.0,1.846,2.666
,,1399785.0,1.874,2.658
,,1399981.0,1.894,2.644
,,1400629.0,1.96,2.614
,,1400886.0,1.986,2.596
,,1401144.0,2.012,2.598
,,1401401.0,2.038,2.596
,,14011401597.0,2.024,2.568
,,1402247.0,1.96,2.536
,,1402442.0,1.94,2.53
,,1402699.0,1.914,2.524
,,1401402891402956.0,1.888,2.522
,,1403348.0,1.846,2.516
,,1403544.0,1.826,2.51
,,1403801.0,1.8,2.51
,,14140391404058.0,1.774,2.508
,,1404449.0,1.736,2.506
,,1404646.0,1.716,2.502
,,1404903.0,1.688,2.5
,,141405160.0,1.662,2.498
,,1405551.0,1.624,2.5
,,1405808.0,1.598,2.494
,,1406004.0,1.578,2.494
,,11406261.0,1.552,2.492
,,1406653.0,1.51,2.494
,,1406910.0,1.484,2.488
,,1407106.0,1.466,2.488
,,1407363.0,1.44,2.486
,,1407754.0,1.4,2.486
,,1408012.0,1.374,2.486
,,1408269.0,1.348,2.484
,,1408526.0,1.322,2.484
,,1408917.0,1.284,2.486
,,1409113.0,1.262,2.484
,,1409370.0,1.234,2.482
,,1409565.0,1.214,2.482
,,1401409761409822.0,1.186,2.484
,,1410214.0,1.148,2.484
,,1410471.0,1.122,2.482
,,1410728.0,1.096,2.48
,,14101410924.0,1.076,2.482
,,1411316.0,1.036,2.48
,,1411573.0,1.01,2.478
,,1411769.0,0.99,2.478
,,1411412026.0,0.964,2.476
,,1412478.0,0.918,2.474
,,1412674.0,0.898,2.474
,,1412931.0,0.872,2.472
,,11413128.0,0.852,2.47
,,1413519.0,0.812,2.468
,,1413776.0,0.786,2.468
,,1413971.0,0.766,2.468
,,1414228.0,0.74,2.468
,,14143641414425.0,0.72,2.468
,,1414621.0,0.7,2.466
,,1414816.0,0.682,2.468
,,1415073.0,0.656,2.47
,,1415269.0,0.636,2.47
,,141541415526.0,0.61,2.468
,,1415918.0,0.568,2.466
,,1416175.0,0.54,2.468
,,1416371.0,0.522,2.47
,,11416566.0,0.502,2.468
,,1417020.0,0.456,2.464
,,1417277.0,0.428,2.468
,,1417534.0,0.402,2.466
,,141417730.0,0.382,2.466
,,1418182.0,0.336,2.464
,,1418439.0,0.312,2.466
,,1418635.0,0.29,2.466
,,11411418892.0,0.264,2.464
,,1419284.0,0.224,2.458
,,1419541.0,0.198,2.462
,,1419737.0,0.18,2.46
,,1420188.0,0.132,2.452
,,1420384.0,0.112,2.454
,,11420641.0,0.086,2.448
,,1421032.0,0.046,2.444
,,1421288.0,0.02,2.44
