index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),160.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,1949798.0,0.024,2.494
,,1949993.0,0.044,2.496
,,195011950251.0,0.07,2.496
,,1950641.0,0.112,2.498
,,1950898.0,0.138,2.5
,,1951289.0,0.178,2.496
,,1951546.0,0.204,2.5
,,1951741.0,0.224,2.5
,,1951931951998.0,0.25,2.502
,,1952390.0,0.29,2.498
,,1952647.0,0.316,2.504
,,1952904.0,0.342,2.504
,,1951953100.0,0.36,2.504
,,1953491.0,0.4,2.5
,,1953687.0,0.42,2.506
,,1953944.0,0.448,2.506
,,1954141.0,0.468,2.506
,,1954593.0,0.514,2.502
,,1954789.0,0.534,2.506
,,1955046.0,0.56,2.508
,,1955303.0,0.586,2.508
,,1.9551955500195555e+17,0.614,2.508
,,1955952.0,0.654,2.506
,,1956148.0,0.674,2.508
,,1956405.0,0.7,2.51
,,11951956662.0,0.724,2.51
,,1957054.0,0.764,2.508
,,1957311.0,0.79,2.51
,,1957507.0,0.81,2.51
,,1957764.0,0.836,2.508
,,1958156.0,0.876,2.512
,,1958413.0,0.902,2.512
,,1958670.0,0.93,2.512
,,1958865.0,0.95,2.514
,,19590611959122.0,0.974,2.514
,,1959515.0,1.014,2.514
,,1959772.0,1.04,2.516
,,1959967.0,1.06,2.516
,,1961960224.0,1.086,2.514
,,1960616.0,1.126,2.518
,,1960873.0,1.152,2.518
,,1961069.0,1.172,2.518
,,1961326.0,1.196,2.518
,,19614601961522.0,1.218,2.52
,,1961914.0,1.26,2.522
,,1962171.0,1.288,2.522
,,1962428.0,1.312,2.522
,,1961962624.0,1.332,2.526
,,1963076.0,1.378,2.532
,,1963333.0,1.404,2.538
,,1963530.0,1.424,2.544
,,191963787.0,1.45,2.558
,,1964178.0,1.49,2.586
,,1964435.0,1.516,2.604
,,1964692.0,1.542,2.622
,,1964889.0,1.562,2.64
,,1965537.0,1.626,2.682
,,1965794.0,1.654,2.694
,,1965989.0,1.674,2.704
,,196196611966247.0,1.7,2.71
,,1966639.0,1.74,2.71
,,1966834.0,1.76,2.698
,,1967091.0,1.784,2.682
,,191967348.0,1.81,2.664
,,1967740.0,1.85,2.642
,,1967997.0,1.878,2.626
,,1968254.0,1.904,2.614
,,191968512.0,1.93,2.61
,,1968903.0,1.97,2.616
,,1969161.0,1.996,2.608
,,1969418.0,2.022,2.606
,,1969675.0,2.032,2.576
,,1969871.0,2.014,2.554
,,191970128.0,1.988,2.542
,,1970582.0,1.942,2.53
,,1970778.0,1.922,2.522
,,1971035.0,1.896,2.514
,,1971230.0,1.874,2.514
,,1971622.0,1.834,2.514
,,1971879.0,1.808,2.506
,,1972136.0,1.782,2.504
,,1972332.0,1.762,2.502
,,1972723.0,1.722,2.498
,,1972980.0,1.696,2.496
,,1973177.0,1.676,2.494
,,1973434.0,1.652,2.492
,,19736291973691.0,1.626,2.492
,,1973886.0,1.606,2.496
,,1974082.0,1.586,2.49
,,1974339.0,1.56,2.488
,,1974596.0,1.534,2.486
,,1974731974792.0,1.512,2.486
,,1975184.0,1.474,2.486
,,1975441.0,1.448,2.48
,,1975636.0,1.428,2.48
,,19751975894.0,1.402,2.48
,,1976285.0,1.362,2.482
,,1976542.0,1.336,2.478
,,1976799.0,1.31,2.478
,,19197691977056.0,1.284,2.478
,,1977448.0,1.244,2.478
,,1977705.0,1.216,2.476
,,1977901.0,1.194,2.474
,,11978096.0,1.176,2.476
,,1978550.0,1.13,2.476
,,1978745.0,1.11,2.476
,,1979002.0,1.084,2.476
,,11979259.0,1.056,2.474
,,1979651.0,1.018,2.476
,,1979847.0,0.998,2.476
,,1980104.0,0.972,2.476
,,1980361.0,0.946,2.476
,,1980752.0,0.906,2.474
,,1981009.0,0.88,2.474
,,1981266.0,0.854,2.474
,,1981462.0,0.834,2.476
,,19816591981719.0,0.808,2.476
,,1982111.0,0.768,2.476
,,1982368.0,0.742,2.476
,,1982564.0,0.722,2.476
,,1982751982821.0,0.696,2.474
,,1983152.0,0.664,2.474
,,1983409.0,0.638,2.476
,,1983666.0,0.612,2.474
,,19831983923.0,0.584,2.474
,,1984314.0,0.544,2.472
,,1984571.0,0.518,2.476
,,1984768.0,0.498,2.474
,,191985025.0,0.472,2.474
,,1985416.0,0.43,2.466
,,1985673.0,0.404,2.47
,,1985868.0,0.384,2.472
,,1986125.0,0.358,2.47
,,1986518.0,0.32,2.464
,,1986713.0,0.3,2.47
,,1986970.0,0.274,2.468
,,1987166.0,0.254,2.468
,,19873621987423.0,0.228,2.464
,,1987815.0,0.188,2.464
,,1988011.0,0.168,2.462
,,19881988267.0,0.142,2.458
,,1988462.0,0.122,2.45
,,1988719.0,0.094,2.454
,,1988915.0,0.074,2.452
,,1989306.0,0.034,2.44
,,1989562.0,0.008,2.442
