index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),160.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,738311.0,0.03,2.47
,,738445.0,0.044,2.458
,,738701.0,0.07,2.464
,,738835738896.0,0.092,2.466
,,739091.0,0.112,2.466
,,739347.0,0.138,2.466
,,739481.0,0.152,2.46
,,739676.0,0.172,2.466
,,73987739932.0,0.198,2.466
,,740127.0,0.218,2.464
,,740323.0,0.238,2.468
,,740518740579.0,0.264,2.466
,,740774.0,0.284,2.466
,,740970.0,0.304,2.468
,,74116741226.0,0.33,2.468
,,741360.0,0.342,2.466
,,741556.0,0.362,2.47
,,741812.0,0.388,2.47
,,742203.0,0.428,2.472
,,742397.0,0.45,2.472
,,742789.0,0.49,2.472
,,743045.0,0.516,2.47
,,743436.0,0.556,2.474
,,743630.0,0.576,2.474
,,744022.0,0.616,2.474
,,744278.0,0.644,2.474
,,744669.0,0.682,2.476
,,744925.0,0.708,2.478
,,745745120.0,0.728,2.48
,,745315.0,0.748,2.48
,,745510.0,0.768,2.48
,,745745766.0,0.794,2.484
,,745902.0,0.808,2.486
,,746158.0,0.834,2.488
,,746353.0,0.854,2.49
,,746548.0,0.874,2.49
,,746805.0,0.9,2.494
,,747000.0,0.92,2.494
,,747452.0,0.966,2.498
,,747646.0,0.984,2.498
,,748038.0,1.024,2.5
,,748294.0,1.05,2.5
,,748685.0,1.09,2.5
,,748941.0,1.116,2.502
,,749331.0,1.156,2.502
,,749527.0,1.176,2.502
,,749978.0,1.222,2.502
,,750235.0,1.25,2.502
,,750625.0,1.292,2.502
,,750881.0,1.318,2.504
,,751272.0,1.356,2.504
,,751528.0,1.382,2.504
,,751858.0,1.416,2.512
,,752114.0,1.442,2.512
,,752310752371.0,1.468,2.516
,,752505.0,1.482,2.522
,,752761.0,1.508,2.524
,,75295753018.0,1.534,2.532
,,753213.0,1.554,2.536
,,753409.0,1.574,2.54
,,75360753665.0,1.6,2.548
,,753800.0,1.614,2.556
,,754056.0,1.64,2.564
,,7542754312.0,1.666,2.574
,,754507.0,1.684,2.588
,,754703.0,1.706,2.596
,,7548754959.0,1.732,2.612
,,755154.0,1.752,2.628
,,755349.0,1.77,2.634
,,755755606.0,1.796,2.648
,,755802.0,1.816,2.662
,,755996.0,1.836,2.664
,,756192.0,1.856,2.668
,,756643.0,1.904,2.668
,,756839.0,1.924,2.662
,,757229.0,1.964,2.642
,,757486.0,1.99,2.628
,,757877.0,2.028,2.618
,,758133.0,2.028,2.584
,,758390.0,2.002,2.56
,,758781.0,1.962,2.542
,,759037.0,1.936,2.534
,,759428.0,1.896,2.524
,,759685.0,1.868,2.518
,,759879.0,1.848,2.522
,,760075.0,1.828,2.512
,,760331.0,1.802,2.51
,,760722.0,1.764,2.504
,,760978.0,1.738,2.502
,,761369.0,1.698,2.5
,,761625.0,1.672,2.498
,,762015.0,1.632,2.496
,,762272.0,1.606,2.496
,,762467.0,1.588,2.498
,,762662.0,1.566,2.494
,,762858.0,1.546,2.492
,,763310.0,1.5,2.49
,,763566.0,1.474,2.488
,,763957.0,1.436,2.49
,,764151.0,1.416,2.488
,,764542.0,1.374,2.488
,,764798.0,1.348,2.486
,,765190.0,1.31,2.486
,,765446.0,1.284,2.486
,,765897.0,1.236,2.486
,,766153.0,1.208,2.484
,,766544.0,1.168,2.484
,,766679.0,1.154,2.484
,,767069.0,1.116,2.484
,,767264.0,1.096,2.484
,,767460.0,1.076,2.482
,,767654.0,1.056,2.48
,,767911.0,1.028,2.478
,,768106.0,1.01,2.474
,,768436.0,0.976,2.468
,,768631.0,0.956,2.464
,,769083.0,0.91,2.452
,,769339.0,0.884,2.444
,,769730.0,0.844,2.434
,,769986.0,0.818,2.428
,,770376.0,0.778,2.422
,,770633.0,0.752,2.42
,,770962.0,0.72,2.418
,,771219.0,0.694,2.42
,,771609.0,0.654,2.422
,,771866.0,0.628,2.424
,,772256.0,0.588,2.426
,,772512.0,0.56,2.428
,,772964.0,0.514,2.43
,,773221.0,0.488,2.432
,,773611.0,0.448,2.434
,,773807.0,0.428,2.434
,,774197.0,0.386,2.434
,,774454.0,0.36,2.436
,,774844.0,0.322,2.436
,,775100.0,0.296,2.436
,,775491.0,0.256,2.436
,,775686.0,0.236,2.434
,,776137.0,0.19,2.434
,,776333.0,0.17,2.434
,,776527.0,0.15,2.424
,,776723.0,0.13,2.43
,,776918776978.0,0.104,2.428
,,777112.0,0.09,2.424
,,777368.0,0.064,2.426
,,777758.0,0.024,2.42
