index,0,time (ms),Voltage (V),Current (mA)
scanrate (mV/s),165.0,,,
scan low (V),-1.0,,,
scan high (V),1.0,,,
num scan,1.0,,,
,,615792.0,0.024,2.482
,,615988.0,0.044,2.488
,,61618616243.0,0.07,2.488
,,616377.0,0.084,2.482
,,616633.0,0.11,2.49
,,617023.0,0.15,2.488
,,617219.0,0.17,2.49
,,617413.0,0.19,2.484
,,617609.0,0.21,2.49
,,617617865.0,0.236,2.49
,,618060.0,0.256,2.484
,,618255.0,0.276,2.49
,,618450.0,0.296,2.49
,,618646.0,0.316,2.49
,,618842.0,0.336,2.49
,,619098.0,0.362,2.49
,,619488.0,0.4,2.492
,,619745.0,0.428,2.492
,,620135.0,0.468,2.492
,,620331.0,0.488,2.492
,,620721.0,0.528,2.49
,,620978.0,0.554,2.492
,,6211621172.0,0.574,2.492
,,621368.0,0.596,2.49
,,621563.0,0.616,2.494
,,621621819.0,0.642,2.494
,,622015.0,0.662,2.49
,,622211.0,0.682,2.494
,,62622467.0,0.706,2.494
,,622858.0,0.746,2.496
,,6623114.0,0.772,2.494
,,623443.0,0.806,2.496
,,623699.0,0.832,2.496
,,624091.0,0.872,2.496
,,624347.0,0.898,2.498
,,624737.0,0.938,2.498
,,624932.0,0.958,2.498
,,625384.0,1.004,2.5
,,625641.0,1.03,2.498
,,626031.0,1.07,2.498
,,626287.0,1.096,2.5
,,626421626483.0,1.116,2.498
,,626617.0,1.13,2.5
,,626874.0,1.156,2.5
,,6270627130.0,1.18,2.5
,,627325.0,1.2,2.5
,,627520.0,1.222,2.5
,,627627777.0,1.25,2.5
,,627911.0,1.264,2.502
,,628167.0,1.29,2.502
,,628363.0,1.31,2.504
,,628753.0,1.35,2.506
,,628948.0,1.368,2.508
,,629340.0,1.408,2.518
,,629596.0,1.436,2.522
,,629986.0,1.474,2.54
,,630243.0,1.5,2.552
,,630633.0,1.542,2.58
,,630890.0,1.568,2.594
,,63631085.0,1.588,2.608
,,631280.0,1.608,2.628
,,631536.0,1.634,2.644
,,6631732.0,1.652,2.656
,,632123.0,1.692,2.678
,,632379.0,1.718,2.69
,,632769.0,1.758,2.69
,,633026.0,1.784,2.676
,,633416.0,1.822,2.654
,,633673.0,1.85,2.636
,,634063.0,1.89,2.604
,,634319.0,1.918,2.59
,,634711.0,1.958,2.576
,,634906.0,1.976,2.57
,,635358.0,2.022,2.57
,,635553.0,2.042,2.564
,,635810.0,2.016,2.544
,,636201.0,1.978,2.534
,,636457.0,1.95,2.528
,,636848.0,1.912,2.524
,,637105.0,1.886,2.52
,,637299.0,1.864,2.518
,,637495.0,1.842,2.52
,,637690.0,1.822,2.516
,,637885637946.0,1.798,2.514
,,638142.0,1.778,2.516
,,638338.0,1.758,2.512
,,638532638594.0,1.732,2.51
,,638789.0,1.712,2.51
,,638984.0,1.692,2.506
,,63917639241.0,1.666,2.506
,,639375.0,1.652,2.51
,,639631.0,1.628,2.502
,,63982639887.0,1.602,2.502
,,640022.0,1.588,2.504
,,640278.0,1.562,2.5
,,6404640534.0,1.536,2.498
,,640668.0,1.52,2.502
,,640925.0,1.494,2.496
,,6411641181.0,1.47,2.494
,,641315.0,1.456,2.498
,,641571.0,1.43,2.494
,,6417641828.0,1.404,2.492
,,642023.0,1.382,2.494
,,642280.0,1.356,2.492
,,64241642475.0,1.338,2.492
,,642670.0,1.318,2.492
,,642926.0,1.292,2.49
,,643317.0,1.252,2.49
,,643573.0,1.224,2.49
,,644025.0,1.176,2.488
,,644281.0,1.15,2.49
,,644672.0,1.11,2.488
,,644928.0,1.084,2.488
,,645319.0,1.044,2.488
,,645514.0,1.024,2.488
,,645905.0,0.986,2.486
,,646161.0,0.96,2.486
,,646551.0,0.92,2.486
,,646808.0,0.894,2.486
,,647198.0,0.854,2.482
,,647454.0,0.828,2.482
,,647845.0,0.788,2.48
,,648101.0,0.762,2.48
,,648493.0,0.722,2.478
,,648749.0,0.696,2.48
,,6488648944.0,0.676,2.48
,,649139.0,0.656,2.478
,,649396.0,0.632,2.48
,,6495649590.0,0.61,2.48
,,649786.0,0.59,2.478
,,649981.0,0.57,2.48
,,6501650237.0,0.542,2.48
,,650372.0,0.528,2.478
,,650628.0,0.502,2.48
,,650823.0,0.484,2.48
,,651153.0,0.45,2.482
,,651409.0,0.422,2.482
,,651800.0,0.382,2.48
,,652056.0,0.356,2.48
,,652386.0,0.324,2.478
,,652642.0,0.298,2.48
,,653033.0,0.258,2.478
,,653228.0,0.238,2.478
,,65342653485.0,0.212,2.48
,,653679.0,0.192,2.476
,,653875.0,0.172,2.478
,,654264.0,0.132,2.478
,,65654520.0,0.106,2.476
,,654715.0,0.084,2.472
,,654910.0,0.064,2.474
,,655361.0,0.018,2.472
